Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,atl-trx1-dc1-pe1,Ethernet1/2,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet3/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet4/3,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet5/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet6/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet7/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet8/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet9/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet10/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet11/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet12/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet13/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet14/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet17/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet18/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet19/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet20/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet21/2,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet22/3,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet23/2,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet24/3,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet25/2,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet26/3,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet27/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet28/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet29/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet30/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet31/2,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet33/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet34/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet35/1,network_port,,,True
pe,atl-trx1-dc1-pe1,Ethernet36/1,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet1,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet2,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet3,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet4,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet5,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet6,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet7,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet8,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet9,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet10,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet11,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet12,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet13,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet14,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet15,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet16,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet17,network_port,,,True
pe,atl-trx1-dc1-pe2,Ethernet18,network_port,,,True
